! 12C range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
25.000000	2054.5    	25.000000	2036.91   	25.000000	2038.65   	25.000000	2034.87   	25.000000	2041.75   	25.000000	12.1056   	25.000000	6.66388   	25.000000	13.4321   	25.000000	13.9048   	25.000000	13.1002   	
27.000000	2356.94   	27.000000	2336.69   	27.000000	2342.16   	27.000000	2337.57   	27.000000	2346.42   	27.000000	13.973    	27.000000	7.61805   	27.000000	15.3933   	27.000000	15.828    	27.000000	15.0359   	
29.000000	2678.04   	29.000000	2655.28   	29.000000	2664.2    	29.000000	2658.8    	29.000000	2669.84   	29.000000	15.9537   	29.000000	8.62156   	29.000000	17.475    	29.000000	17.8584   	29.000000	17.0933   	
31.000000	3017.5    	31.000000	2992.42   	31.000000	3004.28   	31.000000	2998.11   	31.000000	3011.53   	31.000000	18.043    	31.000000	9.67267   	31.000000	19.6737   	31.000000	19.9924   	31.000000	19.2691   	
33.000000	3375.08   	33.000000	3347.88   	33.000000	3362.51   	33.000000	3355.66   	33.000000	3371.44   	33.000000	20.2438   	33.000000	10.7732   	33.000000	21.9892   	33.000000	22.2296   	33.000000	21.5634   	
35.000000	3750.51   	35.000000	3721.41   	35.000000	3738.71   	35.000000	3731.27   	35.000000	3749.4    	35.000000	22.5558   	35.000000	11.9222   	35.000000	24.4204   	35.000000	24.5686   	35.000000	23.9751   	
38.000000	4346.62   	38.000000	4315.11   	38.000000	4336.22   	38.000000	4328.06   	38.000000	4349.67   	38.000000	26.2286   	38.000000	13.7349   	38.000000	28.2805   	38.000000	28.2641   	38.000000	27.8098   	
41.000000	4981.62   	41.000000	4948.25   	41.000000	4972.89   	41.000000	4964.27   	41.000000	4989.29   	41.000000	30.1428   	41.000000	15.6533   	41.000000	32.392    	41.000000	32.1795   	41.000000	31.9012   	
44.000000	5654.79   	44.000000	5620.13   	44.000000	5648.05   	44.000000	5639.19   	44.000000	5667.55   	44.000000	34.2934   	44.000000	17.6743   	44.000000	36.7501   	44.000000	36.3098   	44.000000	36.245    	
47.000000	6365.45   	47.000000	6330.11   	47.000000	6361.09   	47.000000	6352.18   	47.000000	6383.81   	47.000000	38.6755   	47.000000	19.7968   	47.000000	41.3501   	47.000000	40.6504   	47.000000	40.8374   	
50.000000	7112.98   	50.000000	7077.55   	50.000000	7111.3    	50.000000	7102.61   	50.000000	7137.44   	50.000000	43.2844   	50.000000	22.017    	50.000000	46.1878   	50.000000	45.1971   	50.000000	45.6745   	
