! 2H range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
41.000000	29811.7   	41.000000	29717.7   	41.000000	29853.7   	41.000000	29859.8   	41.000000	29957.9   	41.000000	444.205   	41.000000	229.827   	41.000000	525.29    	41.000000	465.603   	41.000000	505.974   	
44.000000	33873.3   	44.000000	33777.2   	44.000000	33935.4   	44.000000	33943.2   	44.000000	34058.5   	44.000000	505.564   	44.000000	259.567   	44.000000	597.204   	44.000000	526.544   	44.000000	575.715   	
47.000000	38162     	47.000000	38066.8   	47.000000	38246.8   	47.000000	38256.4   	47.000000	38389.6   	47.000000	570.358   	47.000000	290.786   	47.000000	673.14    	47.000000	590.608   	47.000000	649.438   	
50.000000	42673.8   	50.000000	42582.9   	50.000000	42784.3   	50.000000	42795.8   	50.000000	42947.6   	50.000000	638.52    	50.000000	323.453   	50.000000	753.022   	50.000000	657.731   	50.000000	727.081   	
55.000000	50679.5   	55.000000	50602.9   	55.000000	50839.4   	55.000000	50854.2   	55.000000	51038.4   	55.000000	759.42    	55.000000	381.039   	55.000000	894.747   	55.000000	776.243   	55.000000	865.039   	
60.000000	59278.9   	60.000000	59225.7   	60.000000	59497.1   	60.000000	59515.3   	60.000000	59733.7   	60.000000	889.185   	60.000000	442.445   	60.000000	1046.94   	60.000000	902.83    	60.000000	1013.47   	
65.000000	68457.2   	65.000000	68436.3   	65.000000	68741.7   	65.000000	68764.6   	65.000000	69018.8   	65.000000	1027.53   	65.000000	507.497   	65.000000	1209.31   	65.000000	1037.26   	65.000000	1172.12   	
70.000000	78200.7   	70.000000	78220.6   	70.000000	78560.4   	70.000000	78588.4   	70.000000	78880.1   	70.000000	1174.17   	70.000000	576.122   	70.000000	1381.59   	70.000000	1179.3    	70.000000	1340.78   	
75.000000	88496.6   	75.000000	88565.1   	75.000000	88940.4   	75.000000	88973.8   	75.000000	89304.4   	75.000000	1328.85   	75.000000	648.15    	75.000000	1563.5    	75.000000	1328.76   	75.000000	1519.21   	
80.000000	99332.7   	80.000000	99457.1   	80.000000	99869.5   	80.000000	99908.5   	80.000000	100280    	80.000000	1491.32   	80.000000	723.533   	80.000000	1754.82   	80.000000	1485.43   	80.000000	1707.22   	
