! 1H energy loss (dE/dX) in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
340.000000	0.000284181	340.000000	0.000344524	340.000000	0.000341201	340.000000	0.000340898	340.000000	0.000339967	340.000000	0.000344421	340.000000	1.03134e-07	
350.000000	0.000279894	350.000000	0.000339344	350.000000	0.000336038	350.000000	0.000335741	350.000000	0.000334829	350.000000	0.000339243	350.000000	1.00398e-07	
360.000000	0.000275839	360.000000	0.000334451	360.000000	0.000331164	360.000000	0.000330873	360.000000	0.000329979	360.000000	0.000334353	360.000000	9.78083e-08	
370.000000	0.000271996	370.000000	0.000329822	370.000000	0.000326522	370.000000	0.000326235	370.000000	0.000325358	370.000000	0.000329727	370.000000	9.53532e-08	
380.000000	0.000268351	380.000000	0.000325438	380.000000	0.000322127	380.000000	0.000321844	380.000000	0.000320984	380.000000	0.000325345	380.000000	9.30225e-08	
390.000000	0.000264888	390.000000	0.000321279	390.000000	0.00031796	390.000000	0.000317682	390.000000	0.000316836	390.000000	0.000321188	390.000000	9.08067e-08	
400.000000	0.000261595	400.000000	0.00031733	400.000000	0.000314005	400.000000	0.000313731	400.000000	0.0003129 	400.000000	0.000317241	400.000000	8.86976e-08	
410.000000	0.000258461	410.000000	0.000313576	410.000000	0.000310247	410.000000	0.000309976	410.000000	0.000309159	410.000000	0.000313489	410.000000	8.66875e-08	
420.000000	0.000255473	420.000000	0.000310002	420.000000	0.000306673	420.000000	0.000306405	420.000000	0.000305601	420.000000	0.000309917	420.000000	8.47694e-08	
430.000000	0.000252623	430.000000	0.000306598	430.000000	0.000303267	430.000000	0.000303004	430.000000	0.000302212	430.000000	0.000306515	430.000000	8.29373e-08	
440.000000	0.000249901	440.000000	0.000303351	440.000000	0.000300019	440.000000	0.000299762	440.000000	0.000298982	440.000000	0.00030327	440.000000	8.11853e-08	
450.000000	0.0002473 	450.000000	0.000300251	450.000000	0.000296923	450.000000	0.000296668	450.000000	0.0002959 	450.000000	0.000300172	450.000000	7.95082e-08	
460.000000	0.000244811	460.000000	0.00029729	460.000000	0.000293976	460.000000	0.000293714	460.000000	0.000292956	460.000000	0.000297212	460.000000	7.79013e-08	
470.000000	0.000242429	470.000000	0.000294458	470.000000	0.000291164	470.000000	0.00029089	470.000000	0.000290142	470.000000	0.000294382	470.000000	7.63602e-08	
480.000000	0.000240147	480.000000	0.000291748	480.000000	0.00028847	480.000000	0.000288189	480.000000	0.000287451	480.000000	0.000291673	480.000000	7.4881e-08	
490.000000	0.000237958	490.000000	0.000289153	490.000000	0.000285881	490.000000	0.000285602	490.000000	0.000284874	490.000000	0.000289079	490.000000	7.34599e-08	
500.000000	0.000235858	500.000000	0.000286665	500.000000	0.000283398	500.000000	0.000283125	500.000000	0.000282405	500.000000	0.000286593	500.000000	7.20935e-08	
520.000000	0.000231904	520.000000	0.000281988	520.000000	0.000278736	520.000000	0.000278469	520.000000	0.000277766	520.000000	0.000281918	520.000000	6.95125e-08	
540.000000	0.00022825	540.000000	0.000277674	540.000000	0.000274441	540.000000	0.000274178	540.000000	0.000273491	540.000000	0.000277607	540.000000	6.71158e-08	
560.000000	0.000224865	560.000000	0.000273685	560.000000	0.00027047	560.000000	0.000270212	560.000000	0.000269539	560.000000	0.00027362	560.000000	6.4884e-08	
580.000000	0.000221723	580.000000	0.000269989	580.000000	0.000266792	580.000000	0.000266538	580.000000	0.000265879	580.000000	0.000269926	580.000000	6.28005e-08	
600.000000	0.000218801	600.000000	0.000266556	600.000000	0.000263378	600.000000	0.000263128	600.000000	0.000262481	600.000000	0.000266495	600.000000	6.08509e-08	
