! 2H energy loss (dE/dX) in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
620.000000	0.000216078	620.000000	0.000263364	620.000000	0.000260204	620.000000	0.000259958	620.000000	0.000259322	620.000000	0.000263303	620.000000	6.12219e-08	
640.000000	0.000213536	640.000000	0.000260387	640.000000	0.000257245	640.000000	0.000257002	640.000000	0.000256377	640.000000	0.000260328	640.000000	5.94349e-08	
660.000000	0.000211161	660.000000	0.000257609	660.000000	0.000254481	660.000000	0.000254242	660.000000	0.000253627	660.000000	0.000257551	660.000000	5.77525e-08	
680.000000	0.000208938	680.000000	0.000255011	680.000000	0.000251895	680.000000	0.000251661	680.000000	0.000251056	680.000000	0.000254954	680.000000	5.61656e-08	
700.000000	0.000206854	700.000000	0.000252578	700.000000	0.000249479	700.000000	0.000249244	700.000000	0.000248648	700.000000	0.000252524	700.000000	5.46662e-08	
720.000000	0.0002049 	720.000000	0.000250298	720.000000	0.000247223	720.000000	0.000246977	720.000000	0.000246389	720.000000	0.000250245	720.000000	5.32472e-08	
740.000000	0.000203064	740.000000	0.000248159	740.000000	0.000245103	740.000000	0.000244848	740.000000	0.000244268	740.000000	0.000248107	740.000000	5.19023e-08	
760.000000	0.000201338	760.000000	0.000246148	760.000000	0.0002431 	760.000000	0.000242846	760.000000	0.000242274	760.000000	0.000246098	760.000000	5.06257e-08	
780.000000	0.000199715	780.000000	0.000244258	780.000000	0.000241211	780.000000	0.000240962	780.000000	0.000240396	780.000000	0.000244208	780.000000	4.94123e-08	
800.000000	0.000198186	800.000000	0.000242478	800.000000	0.000239431	800.000000	0.000239185	800.000000	0.000238626	800.000000	0.00024243	800.000000	4.82575e-08	
