thickness_mm,key,reaction,particle,station,range_model,incident_min_mev,incident_max_mev,deposit_min_mev,deposit_max_mev,maximum_particle_range_mm,all_stopped
10.000,forward_dp_deuteron,d-p forward,deuteron,D,atima_1_4_mean_charge,252.085324,289.686775,5.808888,6.408716,287.776783,false
10.000,forward_dp_proton,d-p forward,proton,P-large,hubert_1990,90.312308,127.915535,6.467104,8.538302,114.375305,false
10.000,forward_dp_proton,d-p forward,proton,P-large,ziegler_low_energy,90.312308,127.915535,6.435816,8.489122,114.794297,false
10.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_ls,90.312308,127.915535,6.406648,8.458950,115.251289,false
10.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_2_no_ls,90.312308,127.915535,6.402944,8.454468,115.309204,false
10.000,forward_dp_proton,d-p forward,proton,P-large,atima_1_4_mean_charge,90.312308,127.915535,6.380965,8.423135,115.722365,false
10.000,backward_dp_deuteron,d-p backward,deuteron,D,hubert_1990,45.714035,65.283685,21.078482,39.048255,19.737267,false
10.000,backward_dp_deuteron,d-p backward,deuteron,D,ziegler_low_energy,45.714035,65.283685,21.204494,39.273814,19.664582,false
10.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_ls,45.714035,65.283685,20.950981,39.486408,19.735027,false
10.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_2_no_ls,45.714035,65.283685,20.945285,39.482875,19.737620,false
10.000,backward_dp_deuteron,d-p backward,deuteron,D,atima_1_4_mean_charge,45.714035,65.283685,20.846034,39.303343,19.791365,false
10.000,backward_dp_proton,d-p backward,proton,P-small,hubert_1990,314.715482,334.285703,3.469933,3.586543,589.093968,false
10.000,backward_dp_proton,d-p backward,proton,P-small,ziegler_low_energy,314.715482,334.285703,3.447206,3.563157,591.683397,false
10.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_ls,314.715482,334.285703,3.414251,3.529952,595.895396,false
10.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_2_no_ls,314.715482,334.285703,3.411223,3.526715,596.329539,false
10.000,backward_dp_proton,d-p backward,proton,P-small,atima_1_4_mean_charge,314.715482,334.285703,3.401823,3.516916,598.164253,false
