rotation_axis,rotation_deg,raw_rank,effective_rank,smallest_singular,smallest_nonzero_singular,condition_number,fisher_pseudo_determinant,null_intersection_dimension,principal_angles_deg
y,118,5,5,135498.92515392156,135498.92515392156,1.8390470099598588,2.0069945663587903e+25,0,"62.000000000000036"
y,120,5,5,131542.62932656473,131542.62932656473,1.8798822634564736,1.9193789449073398e+25,0,"60.000000000000021"
y,122,5,5,127546.26434003301,127546.26434003301,1.9231696765796047,1.8271839944363179e+25,0,"57.999999999999993"
y,124,5,5,123511.047525815,123511.047525815,1.9692434316688991,1.7310147100164722e+25,0,"56"
y,126,5,5,119438.2080500422,119438.2080500422,2.0184914740228872,1.6315581191626793e+25,0,"54.000000000000014"
y,128,5,5,115328.98653907343,115328.98653907343,2.071365828894816,1.5295729398989379e+25,0,"52.000000000000007"
y,130,5,5,111184.63470158787,111184.63470158787,2.1445069205095586,1.4258761112878326e+25,0,"49.999999999999986"
y,132,5,5,107006.41494730249,107006.41494730249,2.246036773904216,1.3213266461670292e+25,0,"48.000000000000036"
y,134,5,5,102795.60000242986,102795.60000242986,2.3558523658237509,1.2168073810690192e+25,0,"46.000000000000014"
y,136,5,5,98553.472521992939,98553.472521992939,2.4750868534162964,1.1132052997319589e+25,0,"44.000000000000007"
y,138,5,5,94281.324699117016,94281.324699117016,2.6050890646938001,1.0113911795990892e+25,0,"42.000000000000021"
y,140,5,5,89980.457871414023,89980.457871414023,2.7474774194546203,9.1219935183887801e+24,0,"40.000000000000021"
y,142,5,5,85652.182124583094,85652.182124583094,2.9042108776758222,8.1640837266680705e+24,0,"38.000000000000036"
y,144,5,5,81297.815893345745,81297.815893345745,3.0776835371752504,7.247233765539825e+24,0,"36.000000000000043"
y,146,5,5,76918.68555983757,76918.68555983757,3.2708526184841396,6.3776082121425279e+24,0,"34.000000000000021"
y,148,5,5,72516.125049579932,72516.125049579932,3.4874144438409074,5.5603624248208466e+24,0,"32"
y,150,5,5,68091.475425152632,68091.475425152632,3.7320508075688781,4.799555181067489e+24,0,"30.000000000000014"
y,152,5,5,63646.084477694021,63646.084477694021,4.0107809335358402,4.0980999807769875e+24,0,"28.000000000000011"
y,154,5,5,59181.306316349903,59181.306316349903,4.3314758742841564,3.4577570133673554e+24,0,"26.000000000000053"
